800,"Neoplasias, NOS"
8321/0,Adenoma de células principales
8322/0,Adenoma de células claras
8322/3,Adenocarcinoma de células claras
8322/3,Carcinoma de células claras
8323/0,Adenoma de células mixtas
8323/1,Carcinoma de células renales papilares de células claras
8323/3,Adenocarcinoma de células mixtas
8324/0,Lipoadenoma
8324/0,Adenolipoma
8325/0,Metanéfrico adenoma
8330/0,"Adenoma folicular, NOS"
8330/1,Adenoma folicular atípico
8330/3,"Carcinoma folicular, NOS"
8330/3,"Adenocarcinoma folicular, NOS"
8331/3,"Adenocarcinoma folicular, bien diferenciado"
8331/3,"Carcinoma folicular, bien diferenciado"
8332/3,"Adenocarcinoma folicular, trabecular"
8332/3,"Carcinoma folicular, trabecular"
8332/3,"Adenocarcinoma folicular, moderadamente diferenciado"
8332/3,"Carcinoma folicular, moderadamente diferenciado"
8333/0,"Adenoma microfolicular, NOS"
8333/0,Adenoma fetal
8333/3,Adenocarcinoma fetal
8334/0,Adenoma macrofolicular
8334/0,Adenoma coloide
8335/1,Tumor folicular de potencial maligno incierto
8335/1,"Carcinoma folicular, encapsulado, NOS"
8335/3,"Carcinoma folicular, mínimamente invasivo"
8336/1,Tumor trabecular hialinizante
8336/1,Adenoma trabecular hialinizante
8337/3,Carcinoma tiroideo poco diferenciado
8337/3,Carcinoma insular
8339/3,"Carcinoma folicular, encapsulado, angioinvasivo"
8340/3,"Carcinoma papilar, variante folicular"
8340/3,"Carcinoma papilar adenocarcinoma, variante folicular"
8340/3,Adenocarcinoma papilar y folicular
8340/3,Carcinoma papilar y folicular
8341/3,Microcarcinoma papilar
8342/3,"Carcinoma papilar, variante oncocítica"
8342/3,"Carcinoma papilar, de células oxifílicas"
8343/3,"Carcinoma papilar, encapsulado, de tiroides"
8344/3,"Carcinoma papilar, de células columnares"
8344/3,"Carcinoma papilar, de células altas"
8345/3,Carcinoma medular de tiroides
8345/3,Carcinoma de células C
8345/3,Carcinoma de células parafoliculares
8345/3,Carcinoma medular con estroma amiloide
8346/3,Carcinoma mixto medular-folicular
8347/3,Carcinoma mixto medular-papilar
8348/1,Tumor bien diferenciado de potencial maligno incierto
8349/1,Neoplasia folicular tiroidea no invasiva con características nucleares papilares (NIFTP)
8350/3,Carcinoma esclerosante no encapsulado
8350/3,Adenocarcinoma esclerosante no encapsulado
8350/3,Tumor esclerosante no encapsulado
8350/3,"Carcinoma papilar, esclerosante difuso"
8360/1,Adenomas endocrinos múltiples
8360/1,Adenomatosis endocrina
8361/0,Tumor yuxtaglomerular
8361/0,Tumor de células yuxtaglomerulares Tumor
8361/0,Reninoma
8370/0,"Adenoma cortical suprarrenal, NOS"
8370/0,"Tumor cortical suprarrenal, NOS"
8370/0,"Tumor cortical suprarrenal, benigno"
8370/3,Carcinoma cortical suprarrenal
8370/3,Adenocarcinoma cortical suprarrenal
8370/3,"Tumor cortical suprarrenal, maligno"
8371/0,"Adenoma cortical suprarrenal, de células compactas"
8372/0,"Adenoma cortical suprarrenal, pigmentado"
8372/0,Adenoma negro
8372/0,Adenoma pigmentado
8373/0,"Adenoma cortical suprarrenal, de células claras"
8374/0,"Adenoma cortical suprarrenal, de células glomerulares"
8375/0,"Adenoma cortical suprarrenal, de células mixtas"
8380/0,"Adenoma endometrioide, NOS"
8380/0,"Cistoadenoma endometrioide, NOS"
8380/1,"Adenoma endometrioide, malignidad limítrofe"
8380/1,"Tumor endometrioide, limítrofe"
8380/1,Tumor endometrioide proliferativo atípico
8380/1,"Cistoadenoma endometrioide, malignidad limítrofe"
8380/1,Tumor endometrioide de bajo potencial maligno
8380/2,Neoplasia intraepitelial endometrioide
8380/2,Hiperplasia atípica del endometrio
8380/3,"Adenocarcinoma endometrioide, NOS"
8380/3,"Carcinoma endometrioide, NOS"
8380/3,Cistoadenocarcinoma endometrioide
8381/0,"Adenofibroma endometrioide, NOS"
8381/0,"Cistoadenofibroma endometrioide, NOS"
8381/1,"Adenofibroma endometrioide, malignidad limítrofe"
8381/1,"Cistoadenofibroma endometrioide, malignidad limítrofe"
8381/3,"Adenofibroma endometrioide, maligno"
8381/3,"Cistoadenofibroma endometrioide, maligno"
8382/3,"Adenocarcinoma endometrioide, variante secretora"
8383/3,"Adenocarcinoma endometrioide, variante de células ciliadas"
8384/3,"Adenocarcinoma, tipo endocervical, NOS"
839-842,Neoplasias anexiales y de apéndices cutáneos
8390/0,Adenoma de apéndices cutáneos
8390/0,"Tumor anexial, benigno"
8390/0,"Tumor de apéndices cutáneos, benigno"
8390/3,"Adenocarcinoma anexial, NOS"
8390/3,Carcinoma de apéndices cutáneos
8390/3,Carcinoma anexial
8391/0,Fibroma folicular
8391/0,Fibrofoliculoma
8391/0,Fibroma perifolicular
8391/0,Tricodescoma
8391/0,Tricodescoma con predominio de células fusiformes
8392/0,Siringofibroadenoma
8400/0,Adenoma de glándulas sudoríparas
8400/0,"Siringadenoma, NOS"
8400/0,"Tumor de glándulas sudoríparas, benigno"
8400/1,"Tumor de glándulas sudoríparas, NOS"
8400/3,Adenocarcinoma de glándulas sudoríparas
8400/3,Carcinoma de glándulas sudoríparas
8400/3,"Tumor de glándulas sudoríparas, maligno"
8401/0,Adenoma apocrino
8401/0,Cistoadenoma apocrino
8401/3,Adenocarcinoma apocrino
8401/3,Carcinoma apocrino
8402/0,"Hidradenoma, NOS"
8402/0,Hidradenoma nodular
8402/0,Hidradenoma de células claras
8402/0,Acrospiroma ecrino
8402/3,Hidradenocarcinoma
8402/3,"Hidradenoma nodular, maligno"
8403/0,"Espiradenoma, NOS"
8403/0,Espiradenoma ecrino
8403/3,Espiradenoma ecrino maligno
8403/3,Neoplasia maligna que surge de un espiradenoma preexistente
8403/3,Neoplasia maligna que surge de un cilindroma preexistente
8403/3,Neoplasia maligna que surge de un espiradenocilindroma preexistente
8404/0,Hidrocistoma
8404/0,Hidrocistadenoma
8404/0,Cistadenoma ecrino
8405/0,Hidradenoma papilar
8405/0,Hidradenoma papilífero
8406/0,Siringocistadenoma papilífero
8406/0,Siringadenoma papilar
8406/0,Siringocistadenoma papilar
8406/0,Sialadenoma papilífero
8406/3,Siringocistadenocarcinoma papilífero
8407/0,"Siringoma, NOS"
8407/0,Tumor siringomatoso del pezón
8407/0,Adenoma siringomatoso del pezón
8407/0,Adenoma siringomatoso infiltrante del pezón
8407/3,Carcinoma anexial microquístico
8407/3,Carcinoma esclerosante de los conductos sudoríparos
8407/3,Carcinoma siringomatoso
8408/0,Adenoma papilar ecrino
8408/3,Adenocarcinoma papilar digital
8408/3,Adenoma digital agresivo adenoma papilar
8408/3,Adenocarcinoma papilar ecrino
8409/0,"Poroma, NOS"
8409/0,"Poroma ecrino, NOS"
8409/0,Poroma apocrino
8409/2,Porocarcinoma in situ
8409/3,"Porocarcinoma, NOS"
8409/3,Poroma ecrino maligno
8410/0,Sebaceoma
8410/0,Adenoma sebáceo
8410/0,Epitelioma sebáceo
8410/3,Carcinoma sebáceo
8410/3,Adenocarcinoma sebáceo
8413/3,Adenocarcinoma ecrino
8420/0,Adenoma ceruminoso
8420/3,Adenocarcinoma ceruminoso
8420/3,Carcinoma ceruminoso
843,Neoplasias mucoepidermoides
8430/1,Tumor mucoepidermoide
8430/3,Carcinoma mucoepidermoide
844-849,"Neoplasias quísticas, mucinosas y serosas"
8440/0,"Cistoadenoma, NOS"
8440/0,"Cistoma, NOS"
8440/3,"Cistoadenoma seroso, NOS"
8441/0,Cistoma seroso
8441/0,Adenoma microquístico seroso
8441/0,"Cistoadenoma seroso papilar, NOS"
8441/0,Cistoadenoma seroso carcinoma intraepitelial seroso
8441/2,Carcinoma intraepitelial tubárico seroso (STIC)
8441/2,Carcinoma intraepitelial endometrial seroso
8441/2,"Carcinoma seroso, NOS"
8441/3,"Cistoadenocarcinoma seroso, NOS"
8441/3,"Adenocarcinoma seroso, NOS"
8441/3,"Adenocarcinoma papilar seroso, NOS"
8441/3,Cistoadenocarcinoma seroso papilar
8441/3,Adenocarcinoma seroso papilar
8441/3,Carcinoma papilar superficial seroso
8441/3,"Tumor seroso borderline, NOS"
8442/1,"Tumor seroso, proliferativo atípico"
8442/1,"Cistoadenoma seroso, malignidad borderline"
8442/1,"Tumor seroso, NOS, de bajo potencial maligno"
8442/1,Tumor quístico papilar seroso de malignidad borderline
8442/1,Tumor seroso papilar proliferativo atípico
8442/1,"Cistoadenoma seroso papilar, malignidad borderline"
8442/1,Tumor seroso papilar de bajo potencial maligno
8442/1,Tumor papilar superficial seroso de malignidad borderline
8442/1,Cistoadenoma de células claras
8443/0,"Cistoadenoma papilar, NOS"
8450/0,Tumor papilar cistadenofibroma
8450/0,"cistadenocarcinoma papilar, NOS"
8450/3,adenocarcinoma papiloquístico
8450/3,"cistadenoma papilar, malignidad limítrofe"
8451/1,tumor pseudopapilar sólido de ovario
8452/1,tumor quístico papilar
8452/1,tumor sólido y quístico
8452/1,neoplasia epitelial sólida y papilar
8452/1,neoplasia pseudopapilar sólida de páncreas
8452/3,carcinoma pseudopapilar sólido
8452/3,adenoma papilar mucinoso intraductal
8453/0,tumor papilar mucinoso intraductal con displasia intermedia
8453/0,tumor papilar mucinoso intraductal con displasia de bajo grado
8453/0,neoplasia papilar mucinoso intraductal con displasia de bajo grado
8453/0,tumor papilar mucinoso intraductal con displasia moderada
8453/0,neoplasia papilar mucinosa intraductal con displasia moderada
8453/0,neoplasia papilar mucinosa intraductal con displasia de alto grado
8453/2,"carcinoma papilar mucinoso intraductal, no invasivo"
8453/2,carcinoma papilar mucinoso intraductal Neoplasia con carcinoma invasivo asociado
8453/3,"Carcinoma mucinoso papilar intraductal, invasivo"
8453/3,Tumor quístico del nódulo auriculoventricular
8454/0,"Tumor seroso borderline, variante micropapilar"
8460/2,"Carcinoma seroso, no invasivo, de bajo grado"
8460/2,Carcinoma seroso de bajo grado
8460/3,Carcinoma seroso de bajo grado
8460/3,Carcinoma seroso micropapilar
8461/0,Papiloma seroso de superficie
8461/3,Carcinoma seroso de alto grado
8470/0,"Cistoadenoma mucinoso, NOS"
8470/0,"Cistoadenoma mucinoso papilar, NOS"
8470/0,"Cistoadenoma pseudomucinoso papilar, NOS"
8470/0,"Cistoadenoma pseudomucinoso, NOS"
8470/0,Cistoma mucinoso
8470/0,Neoplasia quística mucinosa con displasia de grado intermedio
8470/0,Neoplasia quística mucinosa con neoplasia intraepitelial de grado intermedio
8470/0,Neoplasia quística mucinosa con displasia de bajo grado
8470/0,Neoplasia quística mucinosa con neoplasia intraepitelial de bajo grado
8470/0,Tumor quístico mucinoso con displasia intermedia
8470/0,Tumor quístico mucinoso con displasia de bajo grado
8470/0,Tumor quístico mucinoso con displasia moderada
8470/2,Neoplasia quística mucinosa con displasia de alto grado
8470/2,"Cistoadenocarcinoma mucinoso, no invasivo"
8470/2,Tumor quístico mucinoso con displasia de alto grado
8470/2,Neoplasia quística mucinosa con displasia intraepitelial de alto grado Neoplasia
8470/3,"Cistoadenocarcinoma mucinoso, NOS"
8470/3,"Cistoadenocarcinoma pseudomucinoso, NOS"
8470/3,Adenocarcinoma pseudomucinoso
8470/3,Tumor quístico mucinoso con un carcinoma invasivo asociado
8470/3,Neoplasia quística mucinosa con un carcinoma invasivo asociado
8470/3,Cistoadenocarcinoma mucinoso papilar
8470/3,Cistoadenocarcinoma pseudomucinoso papilar
8472/1,Tumor quístico mucinoso de malignidad limítrofe
8472/1,Tumor mucinoso limítrofe
8472/1,"Tumor mucinoso, NOS, de bajo potencial maligno"
8472/1,Tumor mucinoso proliferativo atípico
8472/1,"Cistoadenoma mucinoso, malignidad limítrofe"
8472/1,"Cistoadenoma pseudomucinoso, malignidad limítrofe"
8472/1,"Cistoadenoma mucinoso papilar, malignidad limítrofe"
8472/1,"Cistoadenoma papilar pseudomucinoso, malignidad limítrofe"
8472/1,Tumor papilar mucinoso de bajo potencial maligno
8474/0,Cistoadenoma seromucinoso
8474/1,Tumor seromucinoso limítrofe
8474/1,"Tumor seromucinoso, proliferativo atípico"
8474/3,Carcinoma seromucinoso
8480/0,Adenoma mucinoso
8480/0,Adenoma de glándulas mucosas
8480/1,Neoplasia mucinosa apendicular de bajo grado
8480/3,Adenocarcinoma mucinoso
8480/3,"Adenocarcinoma acinar, variante mucinosa"
8480/3,Adenocarcinoma coloide
8480/3,Carcinoma coloide
8480/3,Adenocarcinoma gelatinoso
8480/3,Carcinoma gelatinoso
8480/3,Carcinoma mucinoso
8480/3,Adenocarcinoma mucoide
8480/3,Carcinoma mucoide
8480/3,Adenocarcinoma mucoso
8480/3,Carcinoma mucoso
8480/3,Pseudomixoma peritoneal con sitio primario desconocido
8480/3,Carcinoma mucinoso tubular y de células fusiformes
8480/6,Pseudomixoma peritoneal
8481/3,Adenocarcinoma productor de mucina
8481/3,Carcinoma productor de mucina
8481/3,Adenocarcinoma secretor de mucina
8481/3,Carcinoma secretor de mucina
8482/3,"Carcinoma mucinoso, tipo gástrico"
8482/3,"Adenocarcinoma mucinoso, tipo endocervical"
8490/3,Carcinoma de células en anillo de sello
8490/3,Adenocarcinoma de células en anillo de sello
8490/3,"Adenocarcinoma acinar, variante similar a anillo de sello"
8490/3,"Carcinoma mucinoso, tipo de células en anillo de sello"
8490/3,Carcinoma poco cohesivo
8490/3,Carcinoma de células en anillo de sello/histiocitoide
8490/6,Carcinoma metastásico de células en anillo de sello
8490/6,Tumor de Krukenberg
850-854,Neoplasias ductales y lobulillares
8500/2,"Carcinoma intraductal, no infiltrante, NOS"
8500/2,"Adenocarcinoma intraductal, no infiltrante, NOS"
8500/2,"Carcinoma intraductal, NOS"
8500/2,"Carcinoma ductal in situ, NOS"
8500/2,"DCIS, NOS"
8500/2,DIN 3
8500/2,Neoplasia intraepitelial ductal 3
8500/2,"Carcinoma hipersecretor quístico, intraductal"
8500/3,"Carcinoma ductal infiltrante, NOS"
8500/3,Carcinoma mamario invasivo sin tipo especial
8500/3,"Adenocarcinoma ductal, NOS"
8500/3,"Carcinoma ductal carcinoma, NOS"
8500/3,"Carcinoma ductal, NOS"
8500/3,Carcinoma de células ductales
8500/3,Adenocarcinoma ductal infiltrante
8500/3,Carcinoma de mama de tipo basal
8500/3,Adenocarcinoma de glándula mamaria de tipo
8500/3,Adenocarcinoma de glándulas mamarias anogenitales
8500/3,Carcinoma de mama masculina
8501/2,"Comedocarcinoma, no infiltrante"
8501/2,"Carcinoma ductal in situ, tipo comedón"
8501/2,"DCIS, tipo comedón"
8501/3,"Comedocarcinoma, NOS"
8502/3,Carcinoma secretor
8502/3,Carcinoma de mama juvenil
8503/0,Papiloma intraductal
8503/0,"Adenoma ductal, NOS"
8503/0,Papiloma ductal
8503/0,"Neoplasia papilar intraductal, NOS"
8503/0,Neoplasia papilar intraquística con neoplasia intraepitelial de bajo grado
8503/0,Neoplasia papilar intraquística con neoplasia intraepitelial de grado intermedio
8503/0,Neoplasia papilar intraglandular con neoplasia intraepitelial de bajo grado
8503/0,Neoplasia papilar intraductal con neoplasia de grado intermedio
8503/0,Neoplasia papilar intraductal con neoplasia intraepitelial de bajo grado
8503/0,Neoplasia papilar tubular intraductal de bajo grado
8503/0,Papiloma intraductal con hiperplasia ductal atípica
8503/2,Adenocarcinoma papilar intraductal no infiltrante
8503/2,"Adenocarcinoma papilar intraductal, NOS"
8503/2,"Carcinoma papilar intraductal, NOS"
8503/2,"DCIS, papilar"
8503/2,"Carcinoma ductal in situ, papilar"
8503/2,Carcinoma papilar intraductal no infiltrante
8503/2,Papiloma intraductal con DCIS
8503/2,Neoplasia papilar intraductal con neoplasia intraepitelial de alto grado
8503/2,Intraquística Neoplasia papilar con neoplasia intraepitelial de alto grado
8503/2,Tumor papilar intraquístico con displasia de alto grado
8503/2,Tumor papilar intraquístico con neoplasia intraepitelial de alto grado
8503/2,Neoplasia papilar intraductal con displasia de alto grado
8503/2,Tumor papilar intraductal con displasia de alto grado
8503/2,Tumor papilar intraductal con neoplasia intraepitelial de alto grado
8503/2,Neoplasia tubular-papilar intraductal de alto grado
8503/2,Neoplasia tubulopapilar intraductal
8503/3,Adenocarcinoma papilar intraductal con invasión
8503/3,Adenocarcinoma papilar infiltrante
8503/3,Adenocarcinoma infiltrante y papilar
8503/3,Carcinoma papilar de mama
8503/3,Neoplasia papilar intraductal con carcinoma invasivo asociado
8503/3,Neoplasia papilar intraquística con carcinoma invasivo asociado
8504/0,Adenoma papilar intraquístico
8504/0,Papiloma intraquístico
8504/2,Carcinoma papilar encapsulado
8504/2,Carcinoma papilar intraquístico no infiltrante carcinoma
8504/2,Carcinoma papilar enquistado
8504/2,Carcinoma papilar intraquístico
8504/2,"Carcinoma intraquístico, NOS"
8504/2,Adenocarcinoma papilar intraquístico
8504/3,Carcinoma papilar encapsulado con invasión
8504/3,Carcinoma papilar enquistado con invasión
8504/3,Carcinoma papilar intraquístico con invasión
8505/0,"Papilomatosis intraductal, NOS"
8505/0,Papilomatosis intraductal difusa
8506/0,Adenoma del pezón
8506/0,Papilomatosis del conducto subareolar
8507/2,Carcinoma micropapilar intraductal
8507/2,"Carcinoma ductal in situ, micropapilar"
8507/2,"Carcinoma intraductal, adherido, de alto grado"
8507/3,Carcinoma micropapilar invasivo de mama
8507/3,Carcinoma micropapilar de mama
8508/3,Carcinoma hipersecretor quístico
8509/2,Carcinoma papilar sólido in situ
8509/2,Carcinoma de glándulas sudoríparas productor de mucina endocrina in situ
8509/3,Carcinoma papilar sólido con invasión
8509/3,Carcinoma de glándulas sudoríparas productor de mucina endocrina
8510/3,"Carcinoma medular, NOS"
8510/3,Adenocarcinoma medular
8510/3,Carcinoma de tipo medular
8512/3,Carcinoma medular con estroma linfoide
8513/3,Carcinoma medular atípico
8514/3,"Carcinoma ductal, tipo desmoplásico"
8519/2,"Carcinoma lobulillar in situ, pleomórfico"
8519/2,"LCIS, pleomórfico"
8520/2,"Carcinoma lobulillar in situ, NOS"
8520/2,"LCIS, NOS"
8520/2,"Carcinoma lobulillar, no infiltrante"
8520/2,"Carcinoma lobulillar in situ, clásico"
8520/2,Papiloma intraductal con carcinoma lobulillar in situ
8520/3,"Carcinoma lobulillar, NOS"
8520/3,"Carcinoma lobulillar infiltrante, NOS"
8520/3,Adenocarcinoma lobulillar
8520/3,Carcinoma tubulolobulillar
8520/3,"Carcinoma lobulillar, pleomórfico"
8521/3,Carcinoma ductular infiltrante
8522/2,Carcinoma intraductal y carcinoma lobulillar in situ
8522/3,Carcinoma ductal y lobulillar infiltrante
8522/3,Carcinoma lobulillar y ductal
8522/3,Carcinoma intraductal y lobulillar
8522/3,Carcinoma ductal y lobulillar infiltrante in situ
8522/3,Carcinoma lobulillar infiltrante y carcinoma ductal in situ
8523/3,Carcinoma ductal infiltrante mixto con otros tipos de carcinoma
8523/3,Carcinoma ductal infiltrante y coloide
8523/3,Carcinoma ductal infiltrante y cribiforme
8523/3,Carcinoma ductal infiltrante y mucinoso
8523/3,Carcinoma ductal infiltrante y tubular
8524/3,Carcinoma lobulillar infiltrante mixto con otros tipos de carcinoma
8525/3,Adenocarcinoma polimorfo
8525/3,Carcinoma polimorfo
8525/3,Adenocarcinoma del conducto terminal
8530/3,Carcinoma inflamatorio
8530/3,Adenocarcinoma inflamatorio
8540/3,Enfermedad de Paget mamaria
8540/3,Enfermedad de Paget de la mama
8540/3,Enfermedad de Paget del pezón
8541/3,Enfermedad de Paget y carcinoma ductal infiltrante de la mama
8542/3,"Enfermedad de Paget, extramamaria"
8543/3,Enfermedad de Paget y carcinoma intraductal de la mama
855,Neoplasias de células acinares
8550/0,Adenoma de células acinares
8550/0,Adenoma acinar
8550/0,Adenoma de células acínicas
8550/1,Tumor de células acínicas
8550/1,Tumor de células acínicas
8550/3,Carcinoma de células acinares
8550/3,"Adenocarcinoma acinar, NOS"
8550/3,Acinoma carcinoma
8550/3,Adenocarcinoma de células acínicas
8551/3,Cistoadenocarcinoma de células acinares
8551/3,Adenocarcinoma acinar de pulmón
8552/3,Carcinoma acinar-ductal mixto
856-857,Neoplasias epiteliales complejas
8560/0,Papiloma mixto de células escamosas y glandular
8560/0,Pólipo túbuloescamoso
8560/3,Carcinoma adenoescamoso
8560/3,Adenocarcinoma mixto y carcinoma epidermoide
8560/3,Adenocarcinoma mixto y carcinoma de células escamosas
8560/3,Carcinoma ductal ecrino escamoide
8561/0,Adenolinfoma
8561/0,Cistoadenoma papilar linfomatoso
8561/0,Tumor de Warthin
8562/3,Carcinoma epitelial-mioepitelial
8563/0,Linfadenoma
8570/3,Adenocarcinoma con metaplasia escamosa
8570/3,Adenoacantoma
8570/3,Carcinoma endometrioide con diferenciación escamosa
8571/3,Adenocarcinoma con metaplasia cartilaginosa y ósea
8571/3,Adenocarcinoma con metaplasia cartilaginosa
8571/3,Adenocarcinoma con diferenciación condroide diferenciación
8571/3,Adenocarcinoma con metaplasia ósea
8572/3,Adenocarcinoma con metaplasia de células fusiformes
8572/3,"Adenocarcinoma acinar, variante sarcomatoide"
8572/3,Carcinoma metaplásico tipo fibromatosis
8573/3,Adenocarcinoma con metaplasia apocrina
8573/3,Carcinoma con metaplasia apocrina
8574/3,Adenocarcinoma con diferenciación neuroendocrina
8574/3,Carcinoma con diferenciación neuroendocrina
8574/3,Adenocarcinoma mezclado con carcinoma neuroendocrino
8575/3,"Carcinoma metaplásico, NOS"
8576/3,Adenocarcinoma hepatoide
8576/3,Carcinoma hepatoide
858,Neoplasias epiteliales tímicas
8580/0,Timoma microscópico
8580/0,Timoma benigno
8580/1,Timoma micronodular con estroma linfoide
8580/3,"Timoma, NOS"
8580/3,Timoma intrapulmonar
8580/3,Timoma esclerosante
8580/3,Timoma metaplásico
8581/3,"Timoma, tipo A"
8581/3,"Timoma, medular"
8581/3,"Timoma, de células fusiformes"
8582/3,"Timoma, tipo AB"
8582/3,"Timoma, tipo mixto"
8583/3,"Timoma, tipo B1"
8583/3,"Timoma, rico en linfocitos"
8583/3,"Timoma, linfocítico"
8583/3,"Timoma, organoide"
8583/3,"Timoma, predominantemente cortical"
8584/3,"Timoma, tipo B2"
8584/3,"Timoma, cortical"
8585/3,"Timoma, tipo B3"
8585/3,"Timoma, atípico"
8585/3,"Timoma, epitelial"
8585/3,Carcinoma tímico bien diferenciado
8586/3,"Carcinoma tímico, NOS"
8586/3,"Timoma, tipo C"
8587/0,Timoma hamartomatoso ectópico
8588/3,Tumor epitelial fusiforme con elemento similar al timo
8588/3,SETTLE
8588/3,Tumor epitelial fusiforme con diferenciación similar al timo
8589/3,Carcinoma tímico intratiroideo
8589/3,Carcinoma que muestra elemento similar al timo
8589/3,Carcinoma que muestra diferenciación similar al timo
8589/3,CASTLE
859-867,Neoplasias gonadales especializadas
8590/0,Tumor benigno del estroma de los cordones sexuales
8590/0,En anillo de sello Tumor estromal
8590/0,Tumor estromal microquístico
8590/1,"Tumor estromal gonadal-cordón sexual, NOS"
8590/1,"Tumor estromal gonadal, NOS"
8590/1,"Tumor estromal gonadal, NOS"
8590/1,Tumor estromal ovárico
8590/1,Tumor estromal testicular
8590/1,"Tumor uterino parecido al tumor estromal gonadal-cordón sexual, incompletamente diferenciado"
8590/1,"Tumor estromal gonadal-cordón sexual, no clasificado"
8591/1,"Tumor estromal gonadal-cordón sexual, formas mixtas"
8591/1,"Tumor estromal gonadal-cordón sexual, mixto"
8592/1,Tumor estromal con elementos menores del cordón sexual
8592/1,"Tumor mixto de células germinales-cordón sexual-cordón sexual, NOS"
8593/1,"Tumor mixto de células germinales-cordón sexual-cordón sexual-estroma, no clasificado"
8594/1,"Tecoma, NOS"
8594/1,Tumor de células de la teca
8600/0,"Tecoma, maligno"
8600/0,"Tecoma, luteinizado"
8600/3,Tecoma maligno
8601/0,Tecoma luteinizado
8602/0,Tumor estromal esclerosante
8610/0,"Luteoma, NOS"
8610/0,Luteinoma
8620/1,Tumor de células de la granulosa del testículo en adultos
8620/1,"Tumor de células de la granulosa del testículo, NOS"
8620/3,Tumor de células de la granulosa del ovario en adultos
8620/3,"Tumor de células de la granulosa, tipo adulto"
8620/3,Carcinoma de células de la granulosa
8620/3,"Tumor de células de la granulosa, sarcomatoide"
8621/1,Tumor de células de la granulosa-células de la teca
8621/1,Tumor de células de la teca-células de la granulosa
8622/0,"Tumor de células de la granulosa del testículo, juvenil"
8622/1,"Tumor de células de la granulosa, juvenil"
8623/1,Tumor de los cordones sexuales con túbulos anulares
8630/0,Androblastoma benigno
8630/0,"Arrenoblastoma, benigno"
8630/1,"Androblastoma, NOS"
8630/1,"Arrenoblastoma, NOS"
8630/3,Androblastoma maligno
8630/3,Arrenoblastoma maligno
8631/0,"Tumor de células de Sertoli-Leydig, bien diferenciado"
8631/1,"Tumor de células de Sertoli-Leydig de diferenciación intermedia, NOS"
8631/1,"Tumor de células de Sertoli-Leydig, moderadamente diferenciado diferenciado"
8631/1,"Tumor de células de Sertoli-Leydig, NOS"
8631/3,"Tumor de células de Sertoli-Leydig, poco diferenciado"
8631/3,"Tumor de células de Sertoli-Leydig, sarcomatoide"
8632/1,Ginandroblastoma
8633/1,"Tumor de células de Sertoli-Leydig, retiforme"
8634/1,"Tumor de células de Sertoli-Leydig, diferenciación intermedia, con elementos heterólogos"
8634/1,"Tumor de células de Sertoli-Leydig, moderadamente diferenciado, con elementos heterólogos"
8634/1,"Tumor de células de Sertoli-Leydig, retiforme, con elementos heterólogos"
8634/3,"Tumor de células de Sertoli-Leydig, poco diferenciado, con elementos heterólogos"
8640/1,"Tumor de células de Sertoli, NOS"
8640/1,"Androblastoma tubular, NOS"
8640/1,Adenoma tubular de Pick
8640/1,Adenoma de células de Sertoli
8640/1,Adenoma testicular
8640/3,Carcinoma de células de Sertoli
8641/0,Tumor de células de Sertoli con almacenamiento de lípidos
8641/0,Folliculome lipidique
8641/0,Tumor de células de Sertoli rico en lípidos
8641/0,Androblastoma tubular con almacenamiento de lípidos
8642/1,Tumor de células de Sertoli calcificante de células grandes
8643/1,Neoplasia de células de Sertoli hialinizante de células grandes intratubulares
8650/0,"Tumor de células de Leydig de ovario, NOS"
8650/1,"Tumor de células de Leydig de testículo, NOS"
8650/1,"Tumor de células intersticiales, NOS"
8650/3,"Tumor de células de Leydig, maligno"
8650/3,"Tumor de células intersticiales, maligno"
8660/0,Tumor de células del hilio
8660/0,Tumor de células hiliares
8670/0,Tumor de células lipídicas de ovario
8670/0,"Tumor de células esteroides, NOS"
8670/0,Tumor de células lipoideas de ovario
8670/0,Masculinovoblastoma
8670/3,"Tumor de células esteroides, maligno"
8671/0,Tumor del resto suprarrenal
868-871,Paragangliomas y tumores glómicos
8680/3,"Paraganglioma, NOS"
8681/3,Paraganglioma simpático
8682/3,Paraganglioma parasimpático
8683/0,Paraganglioma gangliocítico
8690/3,Paraganglioma del oído medio
8690/3,"Glomus Tumor yugular, NOS"
8690/3,Paraganglioma yugular
8690/3,Paraganglioma yugulotimpánico
8691/3,Tumor del cuerpo aórtico
8691/3,Paraganglioma del cuerpo aórtico
8691/3,Paraganglioma aorticopulmonar
8692/3,Paraganglioma del cuerpo carotídeo
8692/3,Tumor del cuerpo carotídeo
8693/3,"Paraganglioma extrasuprarrenal, NOS"
8693/3,"Paraganglioma no cromafín, NOS"
8693/3,Paraganglioma laríngeo
8693/3,Paraganglioma vagal
8693/3,Quemodectoma
8693/3,Paraganglioma compuesto
8700/3,"Feocromocitoma, NOS"
8700/3,Paraganglioma medular suprarrenal
8700/3,Paraganglioma cromafín
8700/3,Tumor cromafín
8700/3,Cromafinoma
8700/3,Feocromocitoma compuesto
8700/3,Feocromoblastoma
8710/3,Glomangiosarcoma
8710/3,Sarcoma glomoide
8711/0,"Tumor glómico, NOS"
8711/1,Glomangiomatosis
8711/1,Tumor glómico de potencial maligno incierto
8711/3,"Tumor glómico, maligno"
8712/0,Glomangioma
8713/0,Glomangiomioma
